text_id,prompt_id,detector_prediction
0,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,0,1
12,0,1
13,0,1
14,0,1
15,0,1
16,0,1
17,0,1
18,0,1
19,0,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,2,1
41,2,1
42,2,1
43,2,1
44,2,1
45,2,1
46,2,1
47,2,1
48,2,1
49,2,1
50,2,1
51,2,1
52,2,1
53,2,1
54,2,1
55,2,1
56,2,1
57,2,1
58,2,1
59,2,1
60,3,1
61,3,1
62,3,1
63,3,0
64,3,0
65,3,0
66,3,1
67,3,1
68,3,0
69,3,1
70,3,0
71,3,1
72,3,1
73,3,1
74,3,0
75,3,1
76,3,1
77,3,0
78,3,1
79,3,1
80,4,1
81,4,1
82,4,1
83,4,1
84,4,1
85,4,1
86,4,1
87,4,1
88,4,1
89,4,1
90,4,1
91,4,1
92,4,1
93,4,1
94,4,1
95,4,1
96,4,1
97,4,1
98,4,1
99,4,1
100,5,1
101,5,1
102,5,1
103,5,1
104,5,1
105,5,1
106,5,1
107,5,1
108,5,1
109,5,1
110,5,1
111,5,1
112,5,1
113,5,1
114,5,1
115,5,1
116,5,1
117,5,1
118,5,1
119,5,1
120,6,1
121,6,1
122,6,1
123,6,1
124,6,1
125,6,1
126,6,1
127,6,0
128,6,0
129,6,1
130,6,0
131,6,1
132,6,0
133,6,0
134,6,1
135,6,1
136,6,1
137,6,1
138,6,0
139,6,1
140,7,1
141,7,0
142,7,1
143,7,1
144,7,0
145,7,0
146,7,1
147,7,1
148,7,1
149,7,0
150,7,0
151,7,1
152,7,0
153,7,1
154,7,0
155,7,1
156,7,1
157,7,0
158,7,1
159,7,1
160,8,1
161,8,1
162,8,1
163,8,1
164,8,1
165,8,1
166,8,1
167,8,1
168,8,1
169,8,1
170,8,1
171,8,1
172,8,1
173,8,1
174,8,1
175,8,1
176,8,1
177,8,1
178,8,1
179,8,1
180,9,1
181,9,1
182,9,1
183,9,1
184,9,1
185,9,1
186,9,1
187,9,1
188,9,1
189,9,1
190,9,1
191,9,1
192,9,1
193,9,1
194,9,1
195,9,1
196,9,1
197,9,1
198,9,1
199,9,1
