transformation,mean_delta,delta_std,count
academic_style,-0.39,0.4991449976141362,200
articles_rate,-0.325,0.5006277466376765,200
auxiliaries_rate,-0.32,0.48866549893485034,200
blog_style,-0.33,0.5023562570977157,200
comma_irregularity,-0.3,0.4911273054420348,200
journalistic_style,-0.34,0.5056465088970742,200
less_formal,-0.29,0.5071350211218322,200
lexical_density,-0.31,0.47436813302343644,200
more_human_flow,-0.34,0.4853636672096874,200
noisy_human,-0.335,0.48367832659536286,200
non_intrusive_typos,-0.29,0.4869141886777159,200
prepositions_rate,-0.33,0.5023562570977156,200
pronouns_rate,-0.285,0.49497474683058323,200
punctuation_variation,-0.3,0.4911273054420348,200
rewrite_benchmark,-0.29,0.48691418867771596,200
