text_id,prompt_id,transformation_name,baseline_score,transformed_score,delta
0,0,journalistic_style,1,0,-1
0,0,blog_style,1,1,0
0,0,academic_style,1,1,0
1,0,journalistic_style,1,1,0
1,0,blog_style,1,1,0
1,0,academic_style,1,1,0
2,0,journalistic_style,1,1,0
2,0,blog_style,1,1,0
2,0,academic_style,1,1,0
3,0,journalistic_style,1,1,0
3,0,blog_style,1,1,0
3,0,academic_style,1,1,0
4,0,journalistic_style,1,0,-1
4,0,blog_style,1,0,-1
4,0,academic_style,1,0,-1
5,0,journalistic_style,1,1,0
5,0,blog_style,1,1,0
5,0,academic_style,1,1,0
6,0,journalistic_style,1,1,0
6,0,blog_style,1,0,-1
6,0,academic_style,1,1,0
7,0,journalistic_style,1,0,-1
7,0,blog_style,1,1,0
7,0,academic_style,1,1,0
8,0,journalistic_style,1,1,0
8,0,blog_style,1,1,0
8,0,academic_style,1,1,0
9,0,journalistic_style,1,1,0
9,0,blog_style,1,1,0
9,0,academic_style,1,1,0
10,0,journalistic_style,1,1,0
10,0,blog_style,1,1,0
10,0,academic_style,1,1,0
11,0,journalistic_style,1,1,0
11,0,blog_style,1,1,0
11,0,academic_style,1,1,0
12,0,journalistic_style,1,1,0
12,0,blog_style,1,1,0
12,0,academic_style,1,1,0
13,0,journalistic_style,1,1,0
13,0,blog_style,1,1,0
13,0,academic_style,1,1,0
14,0,journalistic_style,1,1,0
14,0,blog_style,1,1,0
14,0,academic_style,1,0,-1
15,0,journalistic_style,1,0,-1
15,0,blog_style,1,1,0
15,0,academic_style,1,1,0
16,0,journalistic_style,1,1,0
16,0,blog_style,1,1,0
16,0,academic_style,1,1,0
17,0,journalistic_style,1,1,0
17,0,blog_style,1,1,0
17,0,academic_style,1,0,-1
18,0,journalistic_style,1,1,0
18,0,blog_style,1,1,0
18,0,academic_style,1,1,0
19,0,journalistic_style,1,1,0
19,0,blog_style,1,1,0
19,0,academic_style,1,1,0
20,1,journalistic_style,1,0,-1
20,1,blog_style,1,0,-1
20,1,academic_style,1,0,-1
21,1,journalistic_style,1,0,-1
21,1,blog_style,1,0,-1
21,1,academic_style,1,0,-1
22,1,journalistic_style,1,1,0
22,1,blog_style,1,1,0
22,1,academic_style,1,1,0
23,1,journalistic_style,1,1,0
23,1,blog_style,1,1,0
23,1,academic_style,1,1,0
24,1,journalistic_style,1,1,0
24,1,blog_style,1,1,0
24,1,academic_style,1,1,0
25,1,journalistic_style,1,1,0
25,1,blog_style,1,1,0
25,1,academic_style,1,1,0
26,1,journalistic_style,1,1,0
26,1,blog_style,1,1,0
26,1,academic_style,1,1,0
27,1,journalistic_style,1,1,0
27,1,blog_style,1,1,0
27,1,academic_style,1,1,0
28,1,journalistic_style,1,1,0
28,1,blog_style,1,1,0
28,1,academic_style,1,1,0
29,1,journalistic_style,1,1,0
29,1,blog_style,1,0,-1
29,1,academic_style,1,1,0
30,1,journalistic_style,1,1,0
30,1,blog_style,1,1,0
30,1,academic_style,1,1,0
31,1,journalistic_style,1,1,0
31,1,blog_style,1,1,0
31,1,academic_style,1,0,-1
32,1,journalistic_style,1,1,0
32,1,blog_style,1,0,-1
32,1,academic_style,1,1,0
33,1,journalistic_style,1,1,0
33,1,blog_style,1,0,-1
33,1,academic_style,1,1,0
34,1,journalistic_style,1,1,0
34,1,blog_style,1,1,0
34,1,academic_style,1,1,0
35,1,journalistic_style,1,0,-1
35,1,blog_style,1,0,-1
35,1,academic_style,1,1,0
36,1,journalistic_style,1,1,0
36,1,blog_style,1,1,0
36,1,academic_style,1,1,0
37,1,journalistic_style,1,1,0
37,1,blog_style,1,1,0
37,1,academic_style,1,0,-1
38,1,journalistic_style,1,0,-1
38,1,blog_style,1,0,-1
38,1,academic_style,1,1,0
39,1,journalistic_style,1,0,-1
39,1,blog_style,1,0,-1
39,1,academic_style,1,0,-1
40,2,journalistic_style,1,1,0
40,2,blog_style,1,0,-1
40,2,academic_style,1,1,0
41,2,journalistic_style,1,0,-1
41,2,blog_style,1,1,0
41,2,academic_style,1,1,0
42,2,journalistic_style,1,1,0
42,2,blog_style,1,1,0
42,2,academic_style,1,1,0
43,2,journalistic_style,1,1,0
43,2,blog_style,1,1,0
43,2,academic_style,1,0,-1
44,2,journalistic_style,1,0,-1
44,2,blog_style,1,1,0
44,2,academic_style,1,0,-1
45,2,journalistic_style,1,1,0
45,2,blog_style,1,1,0
45,2,academic_style,1,1,0
46,2,journalistic_style,1,0,-1
46,2,blog_style,1,1,0
46,2,academic_style,1,0,-1
47,2,journalistic_style,1,0,-1
47,2,blog_style,1,0,-1
47,2,academic_style,1,1,0
48,2,journalistic_style,1,1,0
48,2,blog_style,1,1,0
48,2,academic_style,1,0,-1
49,2,journalistic_style,1,1,0
49,2,blog_style,1,1,0
49,2,academic_style,1,0,-1
50,2,journalistic_style,1,1,0
50,2,blog_style,1,1,0
50,2,academic_style,1,1,0
51,2,journalistic_style,1,1,0
51,2,blog_style,1,1,0
51,2,academic_style,1,0,-1
52,2,journalistic_style,1,1,0
52,2,blog_style,1,1,0
52,2,academic_style,1,0,-1
53,2,journalistic_style,1,1,0
53,2,blog_style,1,1,0
53,2,academic_style,1,1,0
54,2,journalistic_style,1,0,-1
54,2,blog_style,1,0,-1
54,2,academic_style,1,1,0
55,2,journalistic_style,1,1,0
55,2,blog_style,1,1,0
55,2,academic_style,1,1,0
56,2,journalistic_style,1,0,-1
56,2,blog_style,1,1,0
56,2,academic_style,1,1,0
57,2,journalistic_style,1,1,0
57,2,blog_style,1,1,0
57,2,academic_style,1,1,0
58,2,journalistic_style,1,1,0
58,2,blog_style,1,1,0
58,2,academic_style,1,1,0
59,2,journalistic_style,1,1,0
59,2,blog_style,1,1,0
59,2,academic_style,1,1,0
60,3,journalistic_style,1,0,-1
60,3,blog_style,1,0,-1
60,3,academic_style,1,0,-1
61,3,journalistic_style,1,1,0
61,3,blog_style,1,0,-1
61,3,academic_style,1,1,0
62,3,journalistic_style,1,0,-1
62,3,blog_style,1,0,-1
62,3,academic_style,1,0,-1
63,3,journalistic_style,0,1,1
63,3,blog_style,0,1,1
63,3,academic_style,0,0,0
64,3,journalistic_style,0,0,0
64,3,blog_style,0,0,0
64,3,academic_style,0,0,0
65,3,journalistic_style,0,0,0
65,3,blog_style,0,0,0
65,3,academic_style,0,0,0
66,3,journalistic_style,1,0,-1
66,3,blog_style,1,0,-1
66,3,academic_style,1,1,0
67,3,journalistic_style,1,0,-1
67,3,blog_style,1,1,0
67,3,academic_style,1,1,0
68,3,journalistic_style,0,0,0
68,3,blog_style,0,1,1
68,3,academic_style,0,0,0
69,3,journalistic_style,1,1,0
69,3,blog_style,1,0,-1
69,3,academic_style,1,0,-1
70,3,journalistic_style,0,0,0
70,3,blog_style,0,0,0
70,3,academic_style,0,0,0
71,3,journalistic_style,1,1,0
71,3,blog_style,1,0,-1
71,3,academic_style,1,1,0
72,3,journalistic_style,1,1,0
72,3,blog_style,1,1,0
72,3,academic_style,1,0,-1
73,3,journalistic_style,1,1,0
73,3,blog_style,1,0,-1
73,3,academic_style,1,1,0
74,3,journalistic_style,0,0,0
74,3,blog_style,0,0,0
74,3,academic_style,0,0,0
75,3,journalistic_style,1,0,-1
75,3,blog_style,1,0,-1
75,3,academic_style,1,1,0
76,3,journalistic_style,1,0,-1
76,3,blog_style,1,0,-1
76,3,academic_style,1,0,-1
77,3,journalistic_style,0,0,0
77,3,blog_style,0,0,0
77,3,academic_style,0,0,0
78,3,journalistic_style,1,1,0
78,3,blog_style,1,0,-1
78,3,academic_style,1,0,-1
79,3,journalistic_style,1,1,0
79,3,blog_style,1,0,-1
79,3,academic_style,1,1,0
80,4,journalistic_style,1,1,0
80,4,blog_style,1,1,0
80,4,academic_style,1,1,0
81,4,journalistic_style,1,0,-1
81,4,blog_style,1,1,0
81,4,academic_style,1,1,0
82,4,journalistic_style,1,0,-1
82,4,blog_style,1,0,-1
82,4,academic_style,1,1,0
83,4,journalistic_style,1,0,-1
83,4,blog_style,1,1,0
83,4,academic_style,1,0,-1
84,4,journalistic_style,1,0,-1
84,4,blog_style,1,1,0
84,4,academic_style,1,0,-1
85,4,journalistic_style,1,1,0
85,4,blog_style,1,1,0
85,4,academic_style,1,1,0
86,4,journalistic_style,1,1,0
86,4,blog_style,1,1,0
86,4,academic_style,1,0,-1
87,4,journalistic_style,1,1,0
87,4,blog_style,1,1,0
87,4,academic_style,1,0,-1
88,4,journalistic_style,1,0,-1
88,4,blog_style,1,1,0
88,4,academic_style,1,1,0
89,4,journalistic_style,1,0,-1
89,4,blog_style,1,0,-1
89,4,academic_style,1,1,0
90,4,journalistic_style,1,1,0
90,4,blog_style,1,1,0
90,4,academic_style,1,1,0
91,4,journalistic_style,1,1,0
91,4,blog_style,1,1,0
91,4,academic_style,1,1,0
92,4,journalistic_style,1,1,0
92,4,blog_style,1,1,0
92,4,academic_style,1,0,-1
93,4,journalistic_style,1,0,-1
93,4,blog_style,1,0,-1
93,4,academic_style,1,0,-1
94,4,journalistic_style,1,0,-1
94,4,blog_style,1,0,-1
94,4,academic_style,1,0,-1
95,4,journalistic_style,1,1,0
95,4,blog_style,1,1,0
95,4,academic_style,1,0,-1
96,4,journalistic_style,1,0,-1
96,4,blog_style,1,0,-1
96,4,academic_style,1,0,-1
97,4,journalistic_style,1,1,0
97,4,blog_style,1,1,0
97,4,academic_style,1,1,0
98,4,journalistic_style,1,1,0
98,4,blog_style,1,1,0
98,4,academic_style,1,0,-1
99,4,journalistic_style,1,1,0
99,4,blog_style,1,1,0
99,4,academic_style,1,1,0
100,5,journalistic_style,1,1,0
