text_id,prompt_id,transformation_name,baseline_score,transformed_score,delta
0,0,lexical_density,1,1,0
0,0,articles_rate,1,1,0
0,0,prepositions_rate,1,1,0
0,0,pronouns_rate,1,1,0
0,0,auxiliaries_rate,1,1,0
1,0,lexical_density,1,1,0
1,0,articles_rate,1,1,0
1,0,prepositions_rate,1,1,0
1,0,pronouns_rate,1,1,0
1,0,auxiliaries_rate,1,1,0
2,0,lexical_density,1,1,0
2,0,articles_rate,1,1,0
2,0,prepositions_rate,1,1,0
2,0,pronouns_rate,1,1,0
2,0,auxiliaries_rate,1,1,0
3,0,lexical_density,1,1,0
3,0,articles_rate,1,1,0
3,0,prepositions_rate,1,1,0
3,0,pronouns_rate,1,1,0
3,0,auxiliaries_rate,1,1,0
4,0,lexical_density,1,0,-1
4,0,articles_rate,1,0,-1
4,0,prepositions_rate,1,0,-1
4,0,pronouns_rate,1,0,-1
4,0,auxiliaries_rate,1,0,-1
5,0,lexical_density,1,1,0
5,0,articles_rate,1,1,0
5,0,prepositions_rate,1,1,0
5,0,pronouns_rate,1,0,-1
5,0,auxiliaries_rate,1,1,0
6,0,lexical_density,1,1,0
6,0,articles_rate,1,0,-1
6,0,prepositions_rate,1,1,0
6,0,pronouns_rate,1,1,0
6,0,auxiliaries_rate,1,1,0
7,0,lexical_density,1,1,0
7,0,articles_rate,1,1,0
7,0,prepositions_rate,1,1,0
7,0,pronouns_rate,1,1,0
7,0,auxiliaries_rate,1,1,0
8,0,lexical_density,1,1,0
8,0,articles_rate,1,0,-1
8,0,prepositions_rate,1,1,0
8,0,pronouns_rate,1,1,0
8,0,auxiliaries_rate,1,1,0
9,0,lexical_density,1,1,0
9,0,articles_rate,1,1,0
9,0,prepositions_rate,1,1,0
9,0,pronouns_rate,1,1,0
9,0,auxiliaries_rate,1,1,0
10,0,lexical_density,1,0,-1
10,0,articles_rate,1,1,0
10,0,prepositions_rate,1,1,0
10,0,pronouns_rate,1,1,0
10,0,auxiliaries_rate,1,0,-1
11,0,lexical_density,1,1,0
11,0,articles_rate,1,1,0
11,0,prepositions_rate,1,1,0
11,0,pronouns_rate,1,1,0
11,0,auxiliaries_rate,1,1,0
12,0,lexical_density,1,1,0
12,0,articles_rate,1,0,-1
12,0,prepositions_rate,1,1,0
12,0,pronouns_rate,1,1,0
12,0,auxiliaries_rate,1,1,0
13,0,lexical_density,1,1,0
13,0,articles_rate,1,1,0
13,0,prepositions_rate,1,1,0
13,0,pronouns_rate,1,1,0
13,0,auxiliaries_rate,1,0,-1
14,0,lexical_density,1,0,-1
14,0,articles_rate,1,1,0
14,0,prepositions_rate,1,1,0
14,0,pronouns_rate,1,1,0
14,0,auxiliaries_rate,1,0,-1
15,0,lexical_density,1,1,0
15,0,articles_rate,1,1,0
15,0,prepositions_rate,1,1,0
15,0,pronouns_rate,1,1,0
15,0,auxiliaries_rate,1,1,0
16,0,lexical_density,1,1,0
16,0,articles_rate,1,0,-1
16,0,prepositions_rate,1,1,0
16,0,pronouns_rate,1,1,0
16,0,auxiliaries_rate,1,1,0
17,0,lexical_density,1,1,0
17,0,articles_rate,1,1,0
17,0,prepositions_rate,1,0,-1
17,0,pronouns_rate,1,1,0
17,0,auxiliaries_rate,1,1,0
18,0,lexical_density,1,1,0
18,0,articles_rate,1,1,0
18,0,prepositions_rate,1,0,-1
18,0,pronouns_rate,1,1,0
18,0,auxiliaries_rate,1,1,0
19,0,lexical_density,1,1,0
19,0,articles_rate,1,1,0
19,0,prepositions_rate,1,1,0
19,0,pronouns_rate,1,1,0
19,0,auxiliaries_rate,1,1,0
20,1,lexical_density,1,1,0
20,1,articles_rate,1,1,0
20,1,prepositions_rate,1,1,0
20,1,pronouns_rate,1,0,-1
20,1,auxiliaries_rate,1,0,-1
21,1,lexical_density,1,0,-1
21,1,articles_rate,1,0,-1
21,1,prepositions_rate,1,0,-1
21,1,pronouns_rate,1,0,-1
21,1,auxiliaries_rate,1,0,-1
22,1,lexical_density,1,1,0
22,1,articles_rate,1,1,0
22,1,prepositions_rate,1,0,-1
22,1,pronouns_rate,1,1,0
22,1,auxiliaries_rate,1,0,-1
23,1,lexical_density,1,1,0
23,1,articles_rate,1,0,-1
23,1,prepositions_rate,1,1,0
23,1,pronouns_rate,1,0,-1
23,1,auxiliaries_rate,1,1,0
24,1,lexical_density,1,0,-1
24,1,articles_rate,1,1,0
24,1,prepositions_rate,1,0,-1
24,1,pronouns_rate,1,1,0
24,1,auxiliaries_rate,1,0,-1
25,1,lexical_density,1,1,0
25,1,articles_rate,1,1,0
25,1,prepositions_rate,1,1,0
25,1,pronouns_rate,1,1,0
25,1,auxiliaries_rate,1,0,-1
26,1,lexical_density,1,1,0
26,1,articles_rate,1,1,0
26,1,prepositions_rate,1,1,0
26,1,pronouns_rate,1,1,0
26,1,auxiliaries_rate,1,0,-1
27,1,lexical_density,1,1,0
27,1,articles_rate,1,1,0
27,1,prepositions_rate,1,1,0
27,1,pronouns_rate,1,1,0
27,1,auxiliaries_rate,1,1,0
28,1,lexical_density,1,1,0
28,1,articles_rate,1,1,0
28,1,prepositions_rate,1,1,0
28,1,pronouns_rate,1,1,0
28,1,auxiliaries_rate,1,1,0
29,1,lexical_density,1,1,0
29,1,articles_rate,1,1,0
29,1,prepositions_rate,1,1,0
29,1,pronouns_rate,1,1,0
29,1,auxiliaries_rate,1,1,0
30,1,lexical_density,1,1,0
30,1,articles_rate,1,1,0
30,1,prepositions_rate,1,0,-1
30,1,pronouns_rate,1,1,0
30,1,auxiliaries_rate,1,1,0
31,1,lexical_density,1,1,0
31,1,articles_rate,1,1,0
31,1,prepositions_rate,1,1,0
31,1,pronouns_rate,1,1,0
31,1,auxiliaries_rate,1,1,0
32,1,lexical_density,1,1,0
32,1,articles_rate,1,1,0
32,1,prepositions_rate,1,1,0
32,1,pronouns_rate,1,1,0
32,1,auxiliaries_rate,1,1,0
33,1,lexical_density,1,0,-1
33,1,articles_rate,1,1,0
33,1,prepositions_rate,1,0,-1
33,1,pronouns_rate,1,1,0
33,1,auxiliaries_rate,1,1,0
34,1,lexical_density,1,1,0
34,1,articles_rate,1,1,0
34,1,prepositions_rate,1,1,0
34,1,pronouns_rate,1,1,0
34,1,auxiliaries_rate,1,1,0
35,1,lexical_density,1,1,0
35,1,articles_rate,1,1,0
35,1,prepositions_rate,1,1,0
35,1,pronouns_rate,1,0,-1
35,1,auxiliaries_rate,1,1,0
36,1,lexical_density,1,1,0
36,1,articles_rate,1,1,0
36,1,prepositions_rate,1,1,0
36,1,pronouns_rate,1,1,0
36,1,auxiliaries_rate,1,1,0
37,1,lexical_density,1,0,-1
37,1,articles_rate,1,1,0
37,1,prepositions_rate,1,1,0
37,1,pronouns_rate,1,1,0
37,1,auxiliaries_rate,1,1,0
38,1,lexical_density,1,1,0
38,1,articles_rate,1,1,0
38,1,prepositions_rate,1,1,0
38,1,pronouns_rate,1,1,0
38,1,auxiliaries_rate,1,1,0
39,1,lexical_density,1,1,0
39,1,articles_rate,1,1,0
39,1,prepositions_rate,1,1,0
39,1,pronouns_rate,1,1,0
39,1,auxiliaries_rate,1,1,0
40,2,lexical_density,1,1,0
40,2,articles_rate,1,0,-1
40,2,prepositions_rate,1,1,0
40,2,pronouns_rate,1,1,0
40,2,auxiliaries_rate,1,0,-1
41,2,lexical_density,1,1,0
41,2,articles_rate,1,1,0
41,2,prepositions_rate,1,1,0
41,2,pronouns_rate,1,1,0
41,2,auxiliaries_rate,1,1,0
42,2,lexical_density,1,1,0
42,2,articles_rate,1,1,0
42,2,prepositions_rate,1,0,-1
42,2,pronouns_rate,1,1,0
42,2,auxiliaries_rate,1,0,-1
43,2,lexical_density,1,1,0
43,2,articles_rate,1,0,-1
43,2,prepositions_rate,1,1,0
43,2,pronouns_rate,1,1,0
43,2,auxiliaries_rate,1,1,0
44,2,lexical_density,1,1,0
44,2,articles_rate,1,1,0
44,2,prepositions_rate,1,1,0
44,2,pronouns_rate,1,1,0
44,2,auxiliaries_rate,1,0,-1
45,2,lexical_density,1,1,0
45,2,articles_rate,1,0,-1
45,2,prepositions_rate,1,0,-1
45,2,pronouns_rate,1,0,-1
45,2,auxiliaries_rate,1,1,0
46,2,lexical_density,1,0,-1
46,2,articles_rate,1,0,-1
46,2,prepositions_rate,1,0,-1
46,2,pronouns_rate,1,0,-1
46,2,auxiliaries_rate,1,1,0
47,2,lexical_density,1,0,-1
47,2,articles_rate,1,0,-1
47,2,prepositions_rate,1,0,-1
47,2,pronouns_rate,1,0,-1
47,2,auxiliaries_rate,1,0,-1
48,2,lexical_density,1,1,0
48,2,articles_rate,1,1,0
48,2,prepositions_rate,1,1,0
48,2,pronouns_rate,1,0,-1
48,2,auxiliaries_rate,1,1,0
49,2,lexical_density,1,1,0
49,2,articles_rate,1,1,0
49,2,prepositions_rate,1,0,-1
49,2,pronouns_rate,1,1,0
49,2,auxiliaries_rate,1,0,-1
50,2,lexical_density,1,1,0
50,2,articles_rate,1,1,0
50,2,prepositions_rate,1,1,0
50,2,pronouns_rate,1,1,0
50,2,auxiliaries_rate,1,1,0
51,2,lexical_density,1,0,-1
51,2,articles_rate,1,0,-1
51,2,prepositions_rate,1,1,0
51,2,pronouns_rate,1,1,0
51,2,auxiliaries_rate,1,1,0
52,2,lexical_density,1,1,0
52,2,articles_rate,1,1,0
52,2,prepositions_rate,1,1,0
52,2,pronouns_rate,1,1,0
52,2,auxiliaries_rate,1,1,0
53,2,lexical_density,1,1,0
53,2,articles_rate,1,1,0
53,2,prepositions_rate,1,0,-1
53,2,pronouns_rate,1,1,0
53,2,auxiliaries_rate,1,1,0
54,2,lexical_density,1,1,0
54,2,articles_rate,1,1,0
54,2,prepositions_rate,1,0,-1
54,2,pronouns_rate,1,1,0
54,2,auxiliaries_rate,1,1,0
55,2,lexical_density,1,1,0
55,2,articles_rate,1,1,0
55,2,prepositions_rate,1,1,0
55,2,pronouns_rate,1,1,0
55,2,auxiliaries_rate,1,1,0
56,2,lexical_density,1,1,0
56,2,articles_rate,1,1,0
56,2,prepositions_rate,1,0,-1
56,2,pronouns_rate,1,1,0
56,2,auxiliaries_rate,1,0,-1
57,2,lexical_density,1,1,0
57,2,articles_rate,1,0,-1
57,2,prepositions_rate,1,1,0
57,2,pronouns_rate,1,1,0
57,2,auxiliaries_rate,1,1,0
58,2,lexical_density,1,0,-1
58,2,articles_rate,1,1,0
58,2,prepositions_rate,1,1,0
58,2,pronouns_rate,1,0,-1
58,2,auxiliaries_rate,1,1,0
59,2,lexical_density,1,1,0
59,2,articles_rate,1,1,0
59,2,prepositions_rate,1,1,0
59,2,pronouns_rate,1,0,-1
59,2,auxiliaries_rate,1,1,0
60,3,lexical_density,1,0,-1
60,3,articles_rate,1,1,0
60,3,prepositions_rate,1,1,0
60,3,pronouns_rate,1,1,0
60,3,auxiliaries_rate,1,1,0
61,3,lexical_density,1,1,0
61,3,articles_rate,1,0,-1
61,3,prepositions_rate,1,1,0
61,3,pronouns_rate,1,1,0
61,3,auxiliaries_rate,1,1,0
62,3,lexical_density,1,0,-1
62,3,articles_rate,1,0,-1
