index,prediction,text
4607,0,"Technology is evolving and its evolving fast, for the fact that now we have a computer that may read students faces to determine if they lost interest and than alter the thing they are looking at. We will be talking about what this technology could leade to, what it may mean for schools, and how positive it may be. Now this technology is quite advanced but, could it be a little far? Personally i feel this technology could be something positive in our lives but it could leade to many bad things. People will start relying on their computer to make them happy, people who have loved ones may just use a computer to read their emotions rather than actually trying to figure it out. Schools are always trying to keep students happy, or willing to learn. But they seem to always lose their interest, so maybe it will help classes and maybe help advance students to a better grade or maybe even get them somewhere were they feel intrigued in. It could also help for the fact of students who are angry, helping them relax or putting them in a different situation. This technology is very positive but still has its down sides. In my eyes, I see this as something negative for the fact being that humans need to try and reach someones heart and know them. We cant have technology just tell you if someone is happy or if they upset. You wouldnt really get any experience in social skills. So to end this off, i do not agree of having this. This technology will end social skills and hurt schools for the fact of no one would be used to one another. Social skills is one skill everyone needs to have, learn, and use on a day to day bases."
17626,0,"NASA. The United States form of a dominating space academy. The Viking 1, was in fact NASA's spacecraft that was launched in 2001. The spacecraft was set course for the small, red planet that is simillar to Earth. The planet is called Mars. Viking 1's ""sister"" Viking 2 was supposed to be landing on Mars, and that's why Viking 1 was sent up in space to begin with. While Viking 1 was snapping photos, its camera picked up a weird face-like structure on the surface of Mars. Some believe its a mysterious face that ""so called aliens"" built. I believe that their reasoning is just a bunch of garbage. What I think that is, is just a simple and natural landform made by the underground volcanoes, sandy surface, and rocks that landed there. One reason I believe that this is a natural landform is from looking at the photos. The ""face"" isn't any perticular shape that any man or alien would want. The landform would be shaped as a circle, square or any other simple shape, and it would not be so ridgid and cracked. If you were to look at the photo furthest to the left, you would assume that it resembled a face, but If you compair that photo to the one taken twenty-five years later, you would begin to understand that to photo was out-dated and that the camera was not as clear as the one taken later. In addition, why would an alien make a structure of a human's face. That part of the theory makes more sense if you take into consideration the angle the camera could have been taken at. Notice photo two? Its seems to be taken at an angle where there looks like there is a small mountain range looming over the rest of the area. This is key evidence explaining how this is just a natural landmark on Mars. If you still do not believe me, then this next part will. If you think about it, why would NASA keep an amazing discover like this a secret? The answer is that they would not. If NASA went worldwide with their ""face"" they would make more money than millionaires or even other space academies. It does not make sense that the academy would keep an alien encounter hidden. In conclusion, NASA is either brave or very stupid not to tell people about their ""face"", or people just want to get their word out to make other people critisized, make other people feel stupid, or they just want to feel like they are correct when they are clearly not. Therefore; This ""so called face"" is not a face, but it is just a land mark that was naturally constructed by the elements and not alien life-forms."
1755,0,"A claim that evalutes how well the author supports the idea is ""Often referred to as Earth's twin, Venus is the closest planet to Earth in terms of density and size, and occasionally the closest in distance too."" "" Sometimes we are closer to Mars and other times to venus."" ""EAch previous mission was unmanned, and for a good reason, since no spacecraft survived the landing for more than a few hours."" ""Not a single spaceship has touched down on Venus in more than three decades."" "" A thick natmosphere of almost 97% carbon dioxide blankets Venus."" The suface of venus is over 800 degress, that is 90 times greater than what we experience on Earth. These conditions on Venus are far more extreme. Venus conditions also beat submarines divinging into the deepest parts of out oceans. Ir would liquidfy metals. Venus has the hottest surface temperature of any planet in our solar sysem even though Mercury is closer to our sun. Venusian geology and weather presents additional impediments like erupting volcanoes, powerful earthquakes, and frequent lighting strikes to probes seeking to land on its surface. Venus was probaly covered largely with oceans and could have supported various forms of life, just like Earth. Venus still has some features just like Earth. The planet has rocky sediment and includes familar features like valleys mountains and craters but, you have to consider given the long time frames of space travel. Venus would allow scientist to float above the fray. A cehicle hpvering over Venus would avoid the unfriendly ground conditions by staying up and out of the way. You would have to be 30 plus miles above the surface. The temperture will still be hot around 170 degrees. The air pressure would be close to sea level on Earth. ""Radation would not exceed Earths levels."" The conditions on Venus would be survable for humans. "" Most forms of light cannot penetrate the dense atmosphere, rendering sandard forms of photography and videpgraphy ineffective."" "" Our travels on Earth and beyond should not be limited by dangers and doubts but should be expanded to meet the very edges of imagination and innovation."" ""Reaseachers cannot take samples of rock, gas, or anything else from a distance."""
5402,0,"Using technology to read peoples emotion isn't really valuable to students in the classroom. As said in this article that it can read human emotion but not for any purpose except changing a lesson to your understanding when you're confused, but other than that there aren't much use for it. In paragraph of the atricle it states, "" you can probably tell how a friend is feeling simply by the look on her face."" This statement from the article basically shows that some people already know how to read human emotion ny just looking, so this technology may only be valuable to people who can't read human emotions as good as others. In the article, it even says ""most human communication is nonverbal, including emotional communication"" and also says "" so computers need to understand that,too."" In any form of communication, a human understands nonverbal and emotional communication which makes it easier for humans to understand that on another human than technology could."
4798,0,Is the use of this technology to read the emotional expressions of students faces in a classroom valuable. I dont think a computer can read what you are feeling thats my oppinion because i can tell what you are feeling without a computer you dont need a computer to know what your friend or your self is feeling because if you look into a computer do you think it could really tell you what you are thinking because all you can see is your reflexion in the black computer screen. there is no evidence in the passage that tells me what i need to know because there is no way a computer can tell you how you are feeling thats why you have your self or others. is the use of this tschnology to read the emotional expressions of students in a class room valuable. No because you dont need a computer to tell you how you feel or to tell you how you look.
21761,0,"""Vauban streets are completely ""car free""-except the main street thoroughfare.."" Soon our country will be car free. With all the gas pollution we in the air car's need to be banned from our country. Many countries for example have already banned people from driving cars, like Bogota,Paris, and German. In Bogota in stead of banning the cars everyday they what is called a ""Car-free day"" in this car free day people either hiked, biked, skated, or took buses to work or school. Violators faced $25 fines. In Paris they enforced a partial diving ban to clear air of the global city. If people dint leave their cars at home they suffer a 22-euro fine ($31). Almost 4,000 drivers were fined. When the smog cleared enough Monday for the ruling French party they only banned odd-numbered plates on Tuesday. In German you are not allowed to drive a car but you are allowed to own one and if you do own one you must pay $40,000 to have it parked at your home. "" Vauban, completed in 2006, is an example of a growing trend in eroupe, the untied states and elsewhere to seperate suburban life from auto use.."" The untied states needs to do something about the auto use. We should use the new trend to try and not use cars anymore or do what Bogota does and have car-free days. This new trend wou;d help our contries and states. It was help the air not be as polluted as it is now. We dont want the air to get as bad a china or any other counties because then we really wont have a choice of a car-free day. People today should take the oppertunity and walk place that are close to home instead of driving places close to home and putting that extra pollution in the air. Obama is rethinking about this trend because accordng the text 23% of young people driving has decreased witch mean either less people are going to be driving because they dont have a licenece or the young people will start to drive without a licence and not care. Countries have open new programs where they get kids to go bike riding aound the block or country or to go hiking or just anything to save from driving everywhere. these programs are across the nation. Many people do them adults and teens. Instead of using multiple cars to go to school or workwhy dont yall just think about car-pooling. walking or riding a bike. Technology today makes people feel like their more connected without going out to drive somewhere to meet. ""..America's love affair with its vehicles seem to be cooling."" A research company in 2005 did a rea"
11883,0,"The Face showing on Mars has been proved to be a natural landform. The Face is a landform because landforms are very common in Cydonia, the only reason the landform looked like a face was because of the shadows visible from the camera, and there was no other evidence found around the face. Also all research for the Face was done by authorized NASA scientists, and the research was believed to be done very carefully. In Cydonia it is common to have natural landforms, so the Face was easy to be spotted as one. And as the cameras took pictures from different angles, the scientists could see it wasn't anything that spectacular. What made the Face so intresting and made people have false accusations was what made the Face an actual ""face"". The reason that this lanform resembled a face was because of the shadows. There was shadows on the landform that resembled a head, eyes, a nose, and a mouth. Scientists even stated that the Face ""looked like an Egyptian Pharoah"". Even if the Face was found to look like something that was a living thing does not have an effect on the research that had been completed on this landform. To make this statement that the Face is in fact a landform is the amounts of research done by NASA scientists. From snapping numerous pictures to keep resuming to study the Face, NASA has had many ways to prove their point. And after placing the first image on a JPL website, it was settled for most people- the once known as ""Face"" was a natural landform. It was no sign of Aliens or an Alien monument anywhere to be seen on Mars. And the last statement to be concluded about this discussion is that there was nothing else found near the Face to thinking there is any living activity on Mars. NASA has also concluded from the pictures that there had been no objects in the picture like ""airplanes on the ground or Egyptian-style pyramids or even small shacks..."" So there had been no activity to prove to be nothing more from just a landform. In the picture of the Face, it was also evidenced to resemble a mesa or a butte, another kind of natural landform. These kinds of natural landforms were even almost the same height as the Face on Mars. And all of this evidence proved that what used to be thought of as a real face is now catagorized as a natural landform with some shadows that gives it unique look."
14230,0,"Viking 1 photo was taken in 1976 and had people believing all sorts of things. It apperred to be a human face, but was not yet proven to be one. Some belived that is was just a natural landform, but which one is it? This mask on Mars was soon unmasked on May 24, 2001, and is proven to be a natural landform. They have used better pictures and comparison from Earth. Using pictures to discorver the ""Face on Mars"" was difficult in 1976 because we did not have high tech cameras to prove anything, but as the years gone by we could soon tell the truth. For example, 22 years later Mars Orbiter Camera (MOC) was able to take a picture of the figure ten times sharper. After this picture was taken, more people were able to believe that this mask on Mars was just natural landform. Then 3 years later in 2001 we had taken another picture that was even closer and it diffinetly showed landform. Yes, the ""Face on Mars"" was discorvered to be a mesa, or landforms common around the American West. With all these pictures from 1976 to 2001, we had compared them to these Earth landforms. For example, Garvin says that it reminds him of most of Middle Butte in the Snake River Plain of Idaho, which is a lava dome that takes the form of an isolated mesa about the same height as the Face on Mars. This mysterious figure on Mars had turned out to be just natural landform called a mesa. The evidence and details have proven that through pictures and comparison. There is no longer a need to believe any alien monument or life on Mars. Sure, the viking 1 photo gave an illusion, but the MGS image from 2001 gives more evidence to what it really is. Thanks to Malin's teams, that caputured an extraodinary photo to prove the truth."
16883,0,"There are many things that the world can benefit from by having driverless and smart cars. Deaths caused by car accidents, reckless, and drunk drivers would not be as high as they are now if we had driverless and smart cars. The amount of gas usage would not be as high as it is, becuase most people would not even need it. People would not have the stress of worrying about crashing into others cars or things. A car being a smart car, knowing when things are getting dangerous, and knowing not to crash into things would be also very beneficial for beginners and drivers who are paranoid about driving. Driverless and smart cars could really change the way the world works when it comes to cars. I think driverless cars would be safer for the world. When people die by car it is usually because of the reckless and drunk drivers behind the wheel. Now sometimes you can not control the way a person drives and also acccidents happen. With smart and driverless cars you have less things to worry about when it comes to things like accidents. I feel as if driverless cars would really help contribute to the stopping of all the unnecessary deaths cause by reckless and drunk drivers. In 2013 BMW developed a car that was called a "" Traffic Jam Assistant "". That car could handle functions at speeds up to 25 mph. It could accelerate, steer, and brake for itself. Even though the car did all of those things, it still notified the person behing the wheel when they needed to pay attention to the road ahead. I feel as if a car that is able to do that is wonderful and very beneficial to drivers and pedestrians. Being that people have already started developing these types of cars, I think that they should go on with making them better and safer for the world to have. Driverless and smart cars are things that just shows how well we have advanced with technology. Driverless and smart cars should continue to be developed and made even better in differnt ways. Why not take advantage of new techonology, and use it in a good way. Driverless and smart cars are bound to be great in years to come."
11159,1,"The passage says, ""NASA's Viking 1 spacecraft was circling the planet, snapping photos of possible landing sites for its sister ship Viking 2, when it spotted the shadowy likeness of a human face."" At first scientist figured it was just another ""Martian mesa"", common around Cydonia, but they said it had unusual shodows that made it look like an ""Egyptian Pharaoh"". The ""Face on Mars"" is a natural landform because it could be a crater with shadows that makes it look like a human face or it could also be a rock with dents that causes it to have shadows and makes it look like a human face. The passage also says, ""A few days later NASA unveiled the image for all to see. The caption noted a huge rock formation...which resembles a human head...formed by shadows giving the illusion of eyes, nose, and mouth."" So it is a nautral landform not an artifact created by aliens. People might stil think that the ""Face on Mars"" was created by aliens but the passage says, ""What the picture actually shows is the Martian equivalent of a butte or mesa-landforms common around the American West."" It actually is a natural landform."
