index,prediction,text
15772,0,"Dear Principal, If you played on a team wouldn't you want to have good, honest citizens? Why would you want to play with the people who get bad grades and invariably get in trouble? I know I wouldn't want to. To play on a team there should have to be only the people who get good grades. I believe that if you are on a team that you should have to have good grades and a spectacular record. One reason why I think people should have to get good grades to be on a team is because that way you only get the dedicated students. I say that because if they have to get a B- average you better they probably have to work hard to be on the team. That is a good thing because then they will be dedicated to their team and their school. Also I think it is like that in college, all the super good athletes in college have to get good grades to play. If they don't get good grades then they can't play. It should be like that in middle and high school. If the athletes want to be on the team they have to get good grades. A recent study said that if a school has this policy the school's grade point average is 24 percent higher than school without. That is quite a significant jump up and I think it shouldn't be ignored. Another reason I think that we should do that is because then you get good all- around citizens. If they have to get good grades then they are dedicated to their school. Also if the athletes play then they are dedicated to their team. When or if the school changes that policy, I think we should also add that the athletes have to have a good behavior record. That way they have to get good grades, be an athlete, and good behavior. Add that up and you get an all-around good person. I believe that our school should change that policy to a B- average. That way they have to be dedicated to their school and their team. Other people might say that you will get a smaller turnout. Yeah, but that is a good thing because then you"
15742,0,I agree with the principal that students must have a B average if they want to play a sport. They should have a B average because if students get like a C and there in a sport they wouldn't bother to do there homework. They would mostly be focus on the sport there in then focusing on there own learning at school. It would be better do have students wit B average for then they could know if they get a C or something they wouldn't be able to be in the sport that they want to be in. If the students don't have a B average i think that's good that they wouldn't get to play a sport because then if they know they cant play a sport then they would know that they need to bring up there grades for they could play the sport that they want to play. Also that the principal should just tell them if you want to be in a sport you need to bring up your grades or else you cant play the sport that you want to play in. If the students decide to not bring there grades up then that's there choice. The principal should like convince the students to get there grades up for they could play the sport that they want to play. I know that some students would bring there grades up because they do want to play the sport that they want to play. Its good that the principal wants to change the school policy. So yes i agree with the principal that he should change the school policy for the students could know that they need to get there grades up. The students should listen to the school policy rule if they change it. The policy would help the students because the students would have good grades and they would like the sport that there in. the principal should change it and
23698,0,"Almost a 30% of high school students have more responsibilities than others, such as pay bills, and start saving money for college. Some schools are offering distance learning as an option for students, which means that they could attend classes from home by online or by video conferencing. Students think that they would get benefits by being able to attend this program. The truth is that students will not get benefits by attending this program because they will have more responsibilities, less social life, and more access to social media. By attending this program students will have more responsibilities than they usually do, since they will have more time to spend working or doing other things, they will easily forget about if they have homework or projects to do. Even though, some students will get what they actually want, it will not be the same for them, because if they do not understand something, it will not going to be the same to ask a teacher than to ask an online teacher. However, students that want to attend this program will always have to be thoughtful about what things they need to be doing, and what things are more important than others. Also students will have less social life, doing this program they will not have many friends as they could have attending regular school, and if they have there is a huge possibility that they will not have the same age and they will not be always on the same path or alike. Thus, they will not have many friends to do enjoyable things, or someone to share great things with, and it will be hard for them to get used to this program. Last, students will have more access to social media, during the time that they are taking online classes or video conferencing they have to be using a laptop or a desk computer, and also internet. Using a computer and internet will lead them to have access to social media during classes, and it will be a distraction for them, because they will not be putting complete effort to their classes. Although, students will have more time to be doing exactly want, such as work, and hobbies. It will not going to be the same because they will not have many friends as they would like to have to do and share amazing things. In conclusion, taking online classes or by video conferencing, it will never going to be the same that attend a regular school, because students will have more responsibilities than they used to, at one point they will feel lonely, and they will not be putting complete effort because they will have more access to social media during classes."
19576,0,"Dear Senator, While it is unfair, the Electoral College should still be used. There are some problems with the way it works, but it would still be easier than having presidential elections by popular vote. One of the reasons why the Electoral College should still be used is the certainty of the outcome. A dispute over the outcome of an Electoral College vote is possible - it happened in 2000 - but it's less likely than a dispute over the popular vote. The reason is that the winning candidate's share of the Electoral College invariably exceeds their share of the popular vote. Because almost all states award electoral votes on a winner-take-all basis, even a state creates a landslide electoral-vote victory in that state. A tie in the nationwide electoral vote is possible because the total number of votes - 538 - is an even number, but it is highly unlikely. Secondly, the Electoral College restores some of the weight in the political balance that large states (by population) lose by the virtue of the mal-apportionment of the Senate decreed in the Constitution. So, other things being equal, a large state gets more attention from presidential candidates in a campaign than a small state does. The Electoral College also avoids the problem of elections in which no candidate receives a majority of the votes cast. There is pressure for run-off elections when no candidate wins a majority of the votes cast; that pressure, which would greatly complicate the presidential election process, is reduced by the Electoral College, which invariably produces a clear winner. At the most basic level, however, the Electoral College is unfair to voters. Because of the winner-take-all system in each state, candidates don't spend time in states they know they have no chance of winning, focusing only on the tight races in the ""swing"" states. Aside from it being a little unfair, the Electoral College does its best to elect a President, which is why it should still be kept."
14431,0,"Dear Principal, Community service. It sounds really nice to do, right? Wrong! I have done community service before and it is torture. If you do one act of kindness then you will find yourself doing 70 acts of kindness in six seconds. I am talking from experience. There are a billion reasons I could give you why community service is a bad idea, but I'll stick with just one. First, it takes away from your own activities. After school I go to hockey practice. Three years ago when I had community service, I couldn't do that. Community service started out as a five minute thing about once a day. After a few months I was up to my head and then some with community service. I helped my community for seven hours every single day! School is six hours. I did community service more than I went to school. I barely had time to eat. Or breath! I cleaned up so many beaches that I thought that I had solved the world's pollution problem! Helping your community is great. But it gets out of control. So Principal, don't force us to do community service and make us lose our lives. Let us just do little things and all pitch in every now and then. I have learned that you try harder at things when you do it as your choice, rather than being forced to do it."
12596,0,"It makes sense that people think this is evidence of an ancient civilization, but according to NASA they wish it was. Nowadays, with science fiction rapidly advancing it's hard to not imagine or want aliens and any sort of other life to exist because of how extraordinary it would be. Up until today NASA hasn't found any life out there, but they want to and all the other science enthusiasts do aswell. If this was a clue to other life out there, just stumbling upon this was way too easy. Obviously, others like this have been found, meaning this isn't anything more special than a natural landform. If aliens really did exist there is a small chance NASA would just easily stumble upon evidence like this one because if this was real it's too good to be true. Realistically, there's so much reasoning from the experts themselves proving that this isn't anything unusual. First of all there's a thing called shadows and they can easily turn a natural figure into looking like some human-like structure. NASA will literally use technology we don't have access to such as more high-tech cameras to find out things no one ever knew existed. Obviously there are landforms like a butte or mesa meaning this isn't something never found. In fact there's one in Idaho called the,""Snake River Plain of Idaho"". When just ordinary people just make an inference it doesn't mean it's true. When thinking about who finds out all the things and goes up to see the things that occur in space it's NASA. Honestly they are the smarter ones, so there's nothing some regular people with opinions can prove. When the picture was shown it shows the landform started to change or deform, meaning if the structure is able to do such a thing looking like a face had no purpose. If it these are signs of an ancient civilization wouldn't there be more evidence discovered by now or wouldn't there be more of these near?"
3736,0,"Every summer break, students are given projects in certain classes to make sure they continue to improve over the break. These projects handed out to the students are always made by the teachers, but what if we change that? Students should one hundred percent be the ones who plan out and create their own summer projects. One reason students should be allowed to create their own summer break projects is because, they know exactly what they need to improve on to be ready for the following year. Students know what they struggled with and what they were good at during the school year. Teachers can not always grasp what a student may need in order to keep improving. In order for students to recieve any sort of benefit from the summer project, is if they make it themselves. If I was able to make my own summer project with my classmate I would know what needed to be included in order for me to succeed. Another reason students would make the summer projects more productive is that, teachers tend to make assignments very long, hard, time consuming, and usually very boring. Teachers can overstep because it may not seem like a lot of work to them, but to the students, it is. They can put in too much information which can make it less benificial to the students. Doing a project over summer break that is not productive, is a huge waste of time. Students might be more willing and excited to do their summer projects if they create it themselves because it will be something they all enjoy doing. Most people I know, including me dont start even looking at the projects that the teachers give to us until the night before schools starts, but if we as students create our own we already know what we have to accomplish. Due to the amount of excitment for their projects, there will be a large increase in the number of students who complete the task and get a good grade, which starts the school year off on a good note. I always tend to work best and work harder on the subjects and or topics I enjoy the most. I would also complete my work in full if it was intresting to me. Students deserve a long, stressless summer, but with the teacher's stressful assignments, that might not always happen for them. All students deserve a say in what they do with their time over their own break. It is fair to them and the teachers. The summer break projects created by the students will be more productive, less time consuming and more fun for everyone."
23145,0,"Education is a driving force which motivates individuals around the world to work for their goals. Most people receive education in a classroom setting, whether that is in a school, university, etc. However many people around the world do not have the ability to travel to a school everyday in order to pursue an education. As a result, some schools offer distance learning as an option for students to attend classes from home via online or video conferencing. Students would benefit from having the ability to take classes from their home because it allows them to pursue an education if they cannot find transportation to school, limits distraction, and provides students with a more flexible schedule. Many individuals who wish to pursue an education are unable to because of their lack of transportation, however, through the option of distance learning an education is within reach for most people. For example, kids who cannot find transportation to and from school everyday can now take classes within the comfort of their own home. Transportation is no longer an issue for those who desire an education. Students can also avoid distractions,such as appearance and large numbers of peers, by taking classes in their own home. This allows students to truly prioritize learning if they wish to do so. In addition, students are not bothered with the stress of fitting in. By removing these pressures and distractions the productivity of a student will increase. The schedule of the average high school student is very hectic, but when distance learning is implemented the chaos that they experience can be avoided. For example, the average high school student spends about six hours in school, two hours participating in extracurricular activities, and two hours doing homework. All of this work must be crammed into an extremely tight window of time in order to allow time for a sufficient amount of sleep. However, when distance learning is utilized students can take classes and complete the designated work at their convenience. This allows for more time to focus on personal growth, participate in hobbies, and sleep. All of these are very important to the development of an individual outside of an academic setting, and distance learning makes it possible for students to dedicate more time to these activities rather than strictly academics. Although the benefits of distance learning outweigh the negatives some still argue that distance learning isn't effective. While some say that distance learning will lead to a decrease in productivity and effort in an academic setting they are not entirely correct. Distance learning may not confine students to an academic setting for ten hours a day, but it does ensure that the student learns the material and is able to apply it to real-life situations. Productivity should also increase because students have more time to focus on personal health and other activities which they enjoy. In conclusion, distance learning is a great opportunity which holds many benefits for students. Through the use of distance learning students have the ability to pursue an education no matter where they live. They can also dedicate more of their day to personal growth in a non-academic context while still working towards obtaining an education. Students are also able to eliminate any distractions which they may find in a general classroom setting. All in all, distance learning provides students with the chance to pursue an education while also focusing on themselves as people."
24668,0,"My Mother once said ""When you don't know what to do you can ask many people you trust for advice."". Asking for advice is a great way to get help from people. When asking for advice asking multiple people is good for more ideas, better opinions, and a better approach. When asking for advice you can find out more ideas. More ideas can help business wise. With more ideas businesses can find out more ways to expand. More ideas are good for planning. If you're planning a family trip you can more ideas on where to go. More ideas can help with handling situations. You can ask people on how to better handle a situation. With more ideas you can better form opinions. Asking for advice is like asking for better opinions. With better opinions you can help someones love life. When a friend is dealing with a heart break you can give them opinions on what they should do. With better opinions you can help run a business. If you're a worker you can give your opinions on why you should get a raise. When at school you might want the school rules to change. You can tell the principle your opinions and what should change and, he might take what you said into consideration. With better opinions you can have a better approach. With more ideas and, better opinions your approach can be better. You can ask your teacher for advice. When asking your teacher for advice you can better your schooling. You can ask your family members for advice. Asking your family for advice can help you in many ways like your personal problems, schooling, or bullying. Asking your friends for advice is great help too. Asking your friends for advice is goof for when your sad or need help in general. When asking for advice you get a better approach from a lot of people. Advice can come from anyone and the more people you ask the better. Asking for advice is a great way to get more ideas, better opinions, and a better approach. When asking for opinions who might you ask to help?"
20531,0,"Dear Mr. Senator, I believe that the way our elections are run are not what is best for the United States. The Electoral College is changing the way that we originally set out to vote and is making things unfair for the citizens who vote. I propose that the Electoral College is taken away all together in order for elections to be more fair, and more like the original intention of the U.S. With most states following the winner takes all idea, the winner of the general public may not be the candidate that wins the elections. These times are rare, but they happened before there is nothing that is stopping them from happening again. A lot of voters who are not very well educated may not even understand what the electoral college is or what they are actually voting for when they vote. Instead of voting for the candidate that they want as the next president, they are voting for a group of electors that decide who will win. Sometimes, the electors that are assigned to that candiadate will not vote for them. This process also seems to disriciminate against the less populated states because they don't have as much a say in the college and are often forgoten in the rush of propaganda and aren't really aware of who they should pick and why they should pick them. In The Indefensible Electoral College: Why even the best-laid defenses of the system are wrong by Bradfor Plumer, Plumer explains that one of the best arguments against the Electoral College is that the rate of disaster is so high. In 2000, there was a elctoral crisis based upoun the Electoral College, because Al Gore recieved more individual votes, but George W. Bush still won the election. Another reason that this process is so unstable is the way that it makes voters feel about voting. In large states, where this a majority of either republican or democrats, voters may think that if they are in the minority, and the other party will surely win the election, what's the point of voting. If there was no Electoral College, the votes that they put in could contribute to the greater pool of that parties voters, while with Electoral College the votes are pointless and basically disapear. That, to me, is robbing the citizens of the U.S. of thir right to vote. According to Richard A. Posner, the Electoral College restores some of the weight that the large states hold in a presidental election. However, the large states may not have all of one party and those other votes can really make a difference. Some argue that a few votes can not do a lot and that the Electoral College is a far more organized way to conduct the voting. But every vote counts, and if every voter understood why they were voting for who they were voting for then the president may be a majority favorite. It seems unfair that the president of the United States, the most important man in the country, is not truely picked by the voters, but by the Elctoral College. The Office of the Federal Register says that the electors that are selected are chosen by the candidates political party but that stae laws differ on how they are specifically selected. This way does not seem like the best way of performing the task and I can see how it results in issues. Trusting the weight of the United Stated on the the backs iof only 538 electors is not the most stable way to perform an election. Why trust a select group with this descion if the whole United States can contribute to it? I think that it is criticall that we change the idea of an Electoral College to the idea that all of the people in the United States are able to contribute equally to who should be the next president based on what they believe is right. Bradford Plummer believes that one of the most worrying thoughts is that there will be a tie with the electors. If that were to occur the elction would fall into the hands of the House of Representitives, resulting in all the states, no matter what their population is, having the same amount of votes, casuing a president that may be very far away than what the majority of the United States actually wants. This may seem unlikely but in fact there have already been many close calls. In 1968, only 41,971 votes would have deadlockes the election. In 1976 a tie would have happened if 5,559 voters in Hawaii, and 3,687 voters in Hawaii had voted the other way (The Indefensibel Electoral College: Why even the best-laid defenses of the system are wrong, by Bradofrd Plummer.) A tie may occur and if it does, A lot of citizens would be very upset that the president did not win by popularity, but by the Electoral College. There are many reasons that the Elctoral College is unfair to the voters of the U.S. State inequality, diaster, ties, and people loosing the urge to vote. The list goes on and on and if this doesn't make you see what is wrong with this system than I don't know what will. I hope you take this information to good use and use it to tear down this unfair system once and for all. If we really want to be a democracy, than we have to do away with this system. Many of Americans believe that this is the best way and several have published interesting papers on that topic that may chaneg the minds of people who are still for it. I hope this dream to get rid of the unfair and terrible system that is the Electoral College is accomplished soon. Sincerely, A Concerned Citizen"
