index,prediction,text
2694,0,"Humans have been always against risky situations, but those who have abandoned their fears have, at least, succeed. So, I think that the spirit of fighting against yourself is one of the most important qualities you could have.

First of all, if you don't progress, you will be always at the same level, you won't reach for higher positions. Unless, you are happy with this situation, this won't be a problem, but in my case this would be a disaster, because I always think the way of getting better until the perfection and I think that is the feeling that moves the world. You only have to remember every morning that if it hasn't been for Cristobal Columbus, that decided to take a new route to the West Indians, probably now we would be not learning English. 

Second, if you get used to doing some process or task that everybody is able to do, then you became one of them. But in the moment that appears somebody who could do it better than you, then you get replaced. You are dismissed. For example, if you work in a company that has just stablished in China, and you are the first who learn Chinese, then the next that come behind you, won't be able to pass through you.  

And at last living the same kind of lifestyle could be very boring, in the sense that you sink into the routine and it becames very difficult for you to go on since you don't have incentives. 

To sum it up, riskless way of living is not permitted for me, because you have to be self confident of your possibilities and try to use them in the most efficient way in order to prevent yourself of the attack of the others and then you will reach your own limits."
1633,0,"I think that a successful person is more focused on trying new things rather than doing what he or she already knows well. Infact a successful person is a person who wants  to make the difference. Let me explain. A successful person is a person who wants to be different from other people; he /she wants to have some characteristics that can make him/her special in front of  all  other normal people. To do that, a succesful person has to try new things and not only to do what other people do every day. The history shows us many examples of men a women that have changed the world by trying new things. I'm talking about inventors that, by doing new things, has introduced some important innovations. These men and women had taken a lot of risks by doing that. The inventor that I admire most is Marie Curie, who developed the x rays technology. X rays technology is very important today . However, Marie Curie died because of intoxication caused by the big amount of X rays that she absorbed. Without her sacriface, today we would't have one of the most important instruments to diagnose deseases and illness.
However, I have to say  that a successful person is a person that is able to take some risks only when risks are proportionated to the benefits carried by doing new things. Only a stupid person can take some big risks without  the possibility to get some bigs benefits.
For example, managers and brockers, who are the main actors of the financial world, try new things; for example they try to invest money and time in new areas of the world or in new technologies. They do thatt only when the risk connecetd to the financial operation is  as big as the return of money waited."
4792,0,"Wether it is better to have a broad or a specific knowledge depends esentialy of the point of view : if you are looking at the society general interest or at the individual interest.

Eficiency is one of the main argument in favor of knowledge specialization, because it is certainly harder to master a great variety of topics than to focus on a narrow topic. Specialization is one of the main reasons of the great achievements of modern Science.  Today's scientists are capable of very complex theories and projects because they are all very specialized. A botanist would not mix with quantics, because he would loose some time in getting the basis, whwn he could have developed a little further a study on a peculiar animal behaviour.
So for Science and more widely for the human race specialization is better.

But as human being and individuals we need equilibrium which is achieved only throught a wider horizon of knowledge. If your goal is self fulfillement then you will be better of knowing a large panel of topics. That is why during our elementary and most of our secondary studies we are studying a large panel of fields in order to get a solid background on which people can build their minds. 
And it is valable even in the scientific world, when some of the most extrordinary discoveries have been made throught interdisciplinar studies. Like mixing ordinary chemistry with biology  you discover the extraordinary possibilities of using one to dicover more of the other.  You  can dicover some intresting molecules in some animals or plants and you can better understand how the brain works if you know chemistry.

I will end this essay by saying that a solid background of knowledge is necessary, and only then you can specialize in your own field."
8725,0,"There are a lot of people, most of them young people, who say that young people enjoy life more than older people do, but is it truth? Well, to be honest I agree. I think young people enjoy life a lot more that older people do for the following reasons. 
    In first place, young people are experimenting everything that older people already did. They have more energy and fisically they are able to do, what sometimes older people can't do. 
    Older people is most of the time tired or in bad mud and they don't want to do anything. I'm not saying that all of them are like that but most of them sometimes become angry people and they live their lives so. Instead young people is ancious to live their lives and to have the experiences older people had. 
    For example, I'm a young person and I think I have such much more fun than my parents do! It is obviuos. That's because they have a lot of responsabilities and a lot of things to worry about. But for me is a lot different, because I don't have kids, I don't have to work and I don't have to worry about anything, but the school and doing my homework. I can do a lot of things they can't, for example I can watch TV on the afternoon all the time I like but my parents have to go to work so they can't or I can go out on the weekends with my friends but some times it's impossible for my parents to go out with their friends. And I think that all these things make that some persons become like that. Of course with all those things they can't enjoy life like young people do.
    So that, these maybe some of the reasons why people say that and in my opinion it's truth."
770,0,"From my point of view it is more important for the student to learn the facts and then start learning the ideas and the concepts .student must know the facts before he learns the ideas and concepts.because without the facts he cant easily understand concept and he cant even memorize the ideas which he would have been learnt .so the facts are very important before we learn annything.the basic concepts will be learned from the facts and the ideas can be easily learnt.for example if we want to learn about gravitational laws we would first think about the newtonslaw.but the fact is that he founde out the gravitational pull by the apple falling from the tree on to his head..And thus by this we can easily understand the idea and the concept.These facts will be easily leraned by the students and they can reproduce them very effectively.they wont even forget the idea and the concept with taht fact. thus by these facts we can easily learn the topic very easily and effectively.
   Another example for undesrtanding the idea and the concept is that if we want to know how light was evolved there  are many theories and the major fact is that light was discovered by thomas edision after his 99th failure thus by this we can easily capture our mind related to the facts so that which can be easily stayed in our mind.
thus i strongly disaagree the above point  it is more important for the students to understand ideas and concepts than it is for them to learn facts .so students must be first learn the facts relating to what they are studying.these facts are easily available and thus they should learn them first and they must keeep them in mind.These facts will surely help the students to increase tgheir memorizing skills and their intrest to the subjects."
4735,0,"I am agree with the statement saying, ""In twenty years there will be fewer cars in use than it is today."" The use of cars is in 
the increasing stage during these days. However, I believe that this condition will completely change during next twenty years.

First reason of reduce in use of car will be pollution of the environment. Car is the main cause of pollution of the earth every year. This fact was most likely ignored by the people during past few years. However, people start to recognize the importance of maintaining good environment condition and try to do their best for it. 
Other reason that cars will be less used in the future is the globalization. Globalization means that the world is not separating as an individual but conforming as one big community. Therefore, other transportation, which is airplane or ship, to travel oversea will be more used than the car. Car will be just used for the travel within the land or continent. In fact, people even start to use transportaion such as subway or airplane more than the car. 

The final reason that effects the use of the cars is the development of the technology. I personally believe that the development of the technology will soon invent or create new way of transportaion. This new way of transportaion will be much faster than the car and have less harm on the environment. This will make the cars to be not welcomed by the human society anymore.

The changes in the world occurs much faster than the past. In other words, there can be big change in a very short period of time. Therefore, twenty years are definitely not a short time for cars to be in a less use."
3527,0,"Advertising is often considered by post-modernists as a new vicious means of propaganda. It has penetrated almost every sphere of one`s life; it is to be found everywhere in the public sphere, and has also entered the private sphere through television or free flyers. Its purpose is to present a product but also increase the sales of this product .Thus an advertisement must appeal to the consumer`s senses. It must furthermore convince the consumer that he absolutely needs this good.Therefore, strategies have been developed to increase one product`s sales, and making the product attractive and necessary in one of them. But, as the statement argues, many advertisements enhance the product`s appearence and efficiency so that a gap is created between the real product and it`s image.
In the years following the end of the Second World War, occidental societies have  experienced economic bonanzas coupled with increases in living-standards. People therefore consumed more and more. The means by which advertisers make people consume is sometimes questionable. For instance, advertisements often manipulate unconsciously the consumer, by using subliminal messages. This is one of the way to make a product seem much better. Although diffusing erroneous information about a product is forbidden, some advertisements selectively describe the product and emphasize important features of a product , which are in reality irrelevant. As an example, an advertisement for a car might put forward its comfort while its security is not mentioned. 
Although we can argue that many advertisements make product seem better than the reality is, one might aknowledge that the very purpose of an advertisement is to highlight the good features of the product and silence the mediocre ones. Advertisement have the right to emphasize the pleasant features of a product in order to sell the product to a greater extend. But it shouldn`t in any case lie to the consumer, at the risk of being discredited."
3663,0,"Nowadays , you can find many people who have an amazing amount of knowledge. But some people seem to be an expert on every subject. It appears to be that not many people really know something about a certain subject, but without real experts , our industrial word would not work.

Experts are obviously needed to receive true and exact information about a theme. But if you want to know, for instance, something about a complex problem in the process of a DNA syntheses, you need someone who learned about that all his studying time! To avoid misunderstandings of very popular themes, like Biotechnique, you need to have clear and verifyed information. If everybody knows a little bit, this puzzle will not end up in a clear picture, but in chaos of incomplete or even wrong information.

But, of course, experts are needed in the industry to create an effective team. For example, to build a house, you need a mathematics expert, a resources expert and so on. They all match together to a perfect team, which now is able to create new ideas , which work. Maybe the head of the team could be someone with a broader knowledge, but, however, his function in the team is to be an expert of organisation.

I am aware of the problem, that if someone is an expert of a certain subject, but does not know anything of the rest of the world , it can come to problems, even dangerous ones. If a doctor does not know anything about politics and the democratic system we live in, he/she could make dramatically wrong decisions. He/She would not understand the values and the social environemet we live in.
To prevent that, a state needs very good schools, which every citzin has to go to, while he is a child and a young man/woman. This school should teach him/her all the neccessary basic knowledge.

Concluding, I would say, that our world urgently needs experts , who know about their subject very well, in order to accomplish all tasks our society comes up with. Good grammar schools must garranty that every citzin understands the basic structure of our society."
1890,0,"Some poople in Japan, where I live, disagree with the statement that young people nowadays do not give enough time to helping their communities. However, I agree with the statement that young people nowadays do not give enough time to helping communities for the following reasons.

First, school often says that young people have to spent their time studing. For example, My son studies at Shudo Highschool, a private achool in Hiroshima where locates western part of Japan. He wants to communicate wiht our neighborhood. But, he always have many assignments and can not attend a community meetig. In japan, exam scores are most important so young people have to study hard to get high score. In consequent, young people have no time to helping their communities.   

Second, there are few communities in our neighborhood so if young people want, they can not spend thier time helping their communitiew. For example, when I was a junior highschool student there were many communities around us and spent much time to helping our communities. Now, in Japan, people often do not know who lives in thier neighborhood. We do not know each other so there are few communities around us. Because there are few communities, young people do not give enogh time to helping their communities. If there were many communities, young people would give enogh time to helping their communities.  

Terefore, I agree with the statement that young people nowadays do not give enough time to helping their communities."
9910,0,"Nowadays advertisements are massively used in order to improved the sells of products. However we could wonder wether advertisements reflect products as they are really or not. 
We will first see how products are often depicted as better than they really are by advertisements. Then we will consider the reason of this deformation of the reality.

Advertisements always make products better than they really are since they only show the best aspects and all the advantages of the products. Everybody will agree to the fact that it would be irrelevant for an advertisement to point out the drawbacks of the product it intends to present. If we take the example of an advertisement, aiming at selling a car, the car will be perfectly clean while you will never have such a clean vehicle after a few months of use. Moreover the advertisement will just present the positive aspects of the car considered. For a a small car it will depict its easyness of use in a city and boast its little consumption of oil, but it will not tell us about its lake of habitability or the appearance of the materials use inside it. 

Products are indeed always depicted much better than they are, in order to sell them. Nobody would buy a product not appealing through advertisements. Since advertisements often lead the choice of the consummers who do not want to waste their time in reading a lot of reviews before buying a product, firms spend an incredible amount of money on advertisements. Sometimes advertisements go as far as lying about a product in order to sell it therefore people should be of this. Advertisements often use images to sell products and everybody knows that images could be modified to fit the desire of consummers. 

In conclusion, advertisements make always products more appealing than they really are and peole should reali"
